Aba
Bit-Barru
Bit-Belti
Bit-Bunakki
Bit-Dakkuri
Bit-Deraya
Bit-Eriya
Bit-Haʾir
Bit-Hamban
Bit-hussanni
Bit-Iba
Bit-Ibla
Bit-ili
Bit-ilti
Bit-Imbi
Bit-Imbiya
Bit-Kapsi
Bit-kari
Bit-Kisiya
Bit-Parasi-ili
Bit-Purutaš
Bit-reʾi
Bit-Sin-ibni
Bit-Ṣuṣani
Bit-Šilanu
Bit-Šula
Bit-Tammeš-šamaʾ
Bit-Tapputi
Bit-ṭabti
Bit-Uqata
Bit-Urbiru
Bit-Yakin
Bit-Yari
Bit-Zabidi
Bit-Zamani
Bit-Zeri
Bit-Zualza
Bit-̄šašširi
Bubilu
Buharru
Buqu
Bur-šarri
Burallu
Buramma
Burati
Burte
Bususu
Buša
Dadunu
Daduru
Dahasa
Dahinu
Dakkuru
Dame
Damkina
Dana
Danabi
Danabu
Danibanu
Dara-ahuya
Darati
Darraska
Denya
Deru
Diati
Dibirati
Dibirina
Digirina
Dilbat
Dimašqa
Dimkurkurra
Dimmašqa
Dimmeti
Diqukina
Diquqina
Duʾru
Duma
Dume-il
Dummuqu
Dunabu-Enlil
Dunnate
Dunni-Šamaš
Dunnu-equ
Dur-Ammi-iababa
Dur-Anuniti
Dur-Aššur
Dur-Atanate
Dur-Atani
Dur-ayumma
Dur-Balihaya
Dur-Bel-ilaʾi
Dur-Illil
Dur-Issar
Dur-Kurigalzu
Dur-Ladini
Dur-Ladinni
Dur-Nabu
Dur-Nanaya
Dur-Samedi
Dur-Sin-ahhe-eriba
Dur-Šamaš
Dur-Šarruken
Dur-Šarrukku
Dur-Taliti
Dur-Tinuta
Dur-Tukulti-apil-Ešarra
Dur-Yakin
Durna
Durtunu
Duru
Duru-ša-Lihbuqu
Ebeh
Eber-nari
Ebirne
Ekallati
Elamtu
Elizki
Elizzada
Ellipi
Elumu
Enuha
Epadu
Eridu
Erimziqu
Ešnunna
Eurinnaku
Eziat
Gabe
Gabmuri
Gadise
Gaduʾata
Galali
Galṣabri
Gambulu
Gamuzanu
Gananati
Ganata
Ganina
Gannanati
Gargamis
Gilgime
Gilsanu
Gimir
Girra
Gubla
Gulsunu
Gumusanu
Gupnu-ša-Bel-Harran
Guriania
Gurumu
Gutu
Guzana
Guzummanu
Haba
Habhu
Habruri
Hadaʾil
Hadalpa
Hadattu
Hagaranu
Halahhu
Haldia
Hallab
Hallataya
Halule
Halzi-atbar
Halzu
Hamat
Hamban
Hambatia
Hamede
Hamete
Hamu
Hamudu
Hamuna
Hamuru
Hanana
Hanigalbat
Hansuri
HAR
Harbat-ilaʾi-Bel
Harbat-niari
Harbate
Harbina
Harda
Hardu
Hargu
Harhar
Harihumba
Hariṣu
Harmašu
Harrania
Harranu
Hasame
Hasuatti
Hasutu
Hatalla
Hatarikka
Hatti
Hau
Haurina
Hazanu
Hazazu
Hesa
Hidalu
Hilakku
Hindanu
Hindaru
Hiptuna
Hirite
Hiuru
Huʾdiadae
Hubaba
Hubšal
Hubuškia
Hulbuna
Hunaba
Hunnuru
Hupapani
Hursagkalamma
Huwaya
Huzaza
Huzirina
Iadnana
Iddin-ahi
Ilanasa
Ilge
Ilhini
Illabani
Imba
Imgur-Illil
Immiha
Immirina
Immiu
In-Issar
Ina-Bir-manʾat
Ina-qibi-Bel
Iqbi-Bel
Irbayu
Irinnih
Irmuna
Irreʾa
Isana
Isin
Isitati
Ispallure
Isqaluna
Issete
Iškuza
Išnunak
Ištahup
Ištiaru
Ituʾu
Izalla
Izirtu
Izuzu
Kadišhu
Kagapnišu
Kahat
Kakkabnaše
Kaldu
Kalhu
Kamanate
Kapar
Kapar-Adallal
Kapar-Adda-biʾdi
Kapar-Akaru
Kapar-Akkullani
Kapar-Amdanu
Kapar-Ana
Kapar-Arrizu
Kapar-Bel-abuʾa
Kapar-Bir-Hanuni
Kapar-Bise
Kapar-dargili
Kapar-Diqarate
Kapar-Gurraba
Kapar-Hamu
Kapar-Hane
Kapar-ikkari
Kapar-ilani
Kapar-Ilu-bani
Kapar-Ilu-ṣale
Kapar-Itiri
Kapar-Kansi-Issar
Kapar-Kaparu
Kapar-Kuṣur
Kapar-Lahe-il
Kapar-Laqe
Kapar-Mallaṣi
Kapar-Mannu-lu-ahuʾa
Kapar-Mariyaba
Kapar-Nabu
Kapar-Nabu-naṣir
Kapar-Nuni
Kapar-Qana-il
Kapar-Qarihi
Kapar-Qiqi
Kapar-Qurdi-Aššur
Kapar-Remanni-ilu
Kapar-Remutti
Kapar-Saʾili
Kapar-Saqamanu
Kapar-Suri-Bal
Kapar-Ṣilli-Bel
Kapar-Šuga
Kapar-šukkalli
Kapar-Šumma-ilaʾi
Kapar-Šumma-šarru
Kapar-Teʾer
Kapar-Urdi
Kapar-Yaqiri
Kar-Adad
Kar-Aššur
Kar-Aššur-ahu-iddina
Kar-Enlil
Kar-Issar
Kar-kaldayu
Kar-Kašši
Kar-Mullissu
Kar-Nergal
Kar-Salmanu-ašared
Kar-siparri
Kar-Šamaš
Kar-Šarrukin
Kar-Tukulti-apil-Ešarra
Kar-Tukulti-Ninurta
Karalla
Karaš
Karduniaš
Karibtu
Karkarhundir
Karme
Karzitali
Kasappa
Kasasu
Kašiyeri
Kašpu
Kašpuna
Kaššu
Kibatki
Kiguhtu
Kihudaksi
Kilizi
Kilman
Kimar
Kinnili
Kipanu
Kipšuna
Kirmesi
Kisasi
Kiski
Kissik
Kiṣirtu
Kiš
Kišadihubu
Kišessim
Kitipata
Kizahasi
Kubanaše
Kudana
Kukab
Kukkuba
Kulimmeri
Kullab
Kullani
Kullania
Kuluman
Kumme
Kummu
Kummuhi
Kummuhu
Kunalia
Kunane
Kurbail
Kusu
Kute
Labaʾu
Labbanat
Labdudu
Labnana
Laggalagi
Lahiru
Lapsia
Laqe
Larak
Larsa
Laruba
Libbi-ali
Liburna
Lidu
Lihbuqu
Litamu
Luʾamma
Lubda
Luddin-ilu
Lugunu
Lulubani
Luqaše
Lurisite
Lušia
Maʾab
Mada
Madaktu
Madaya
Maganuba
Magidu
Magrisu
Malahi
Malak
Malaku
Malilati
Maniʾ
Manna
Mannu-lušezib
Manṣuate
Manṣuati
Marad
Marhuha
Mari-Til-Wari
Marpada
Marqasa
Marqasi
Marrutu
Martena
Marubištu
Maruru
Mat-Akkadi
Mat-Amurri
Mat-Aššur
Mat-Aššuraya
Mat-Hatti
Mat-Masenni
Mat-Nagir-ekalli
Mat-rab-šaqe
Mat-Rab-šaqe
Mat-Subarti
Mat-Šumeri
Mat-tamti
Mat-Tamti
Maturaba
Mazamua
Me-ṭabute
Melid
Melidi
Menaga
Meṣi
Meturna
Mila
Milqia
Milyaba
Minda
Minuʾ
Mudurna
Munuʾ
Musku
Muṣaṣir
Muṣur
Muṣuraya
Muši
Mutianni
Muttabal
Naʾiri
Nahal
Nahšimarti
Nal
Nalhiti
Nampigu
Namri
Napissu
Nappigi
Nartu
Naṣibina
Našmedi
Nemed-Ištar
Nemed-Laguda
Nemetti-šarri
Nerab
Niʾu
Nikkur
Ninua
Nippur
Nipur
Niqi-Tubliš
Niramayu
Nuguʾ
Nugul
Nunak
Nuniba
Paddanu
Parak-Mari
Paranzi
Parnaka
Parsamaš
Parsua
Parsumaš
Paššate
Patibiri
Paye
Penza
Pilistu
Pillat
Pinas
Piraʾa
Pirriya
Piruʾayu
Piusi
Pulua
Pumu
Puqudu
Purunda
Qablit
Qadarua
Qadisu
Qaniun
Qanunu
Qarena
Qarne
Qarnina
Qarradi
Qarti-Haldi
Qatannu
Qibi-Bel
Qibit-Aššur
Qidru
Qipanu
Qirbit
Qudanati
Que
Quhna
Qunbuna
Qurani
Quruba
Quwe
Rabla
Rable
Rahba
Rahiqu
Ramadani
Rapiša
Rasitu
Raṣappa
Rašu
Renni
Reš-ṣurri
Ribit-Remanni-ilu
Rišteana
Saʾarru
Saʾrarina
Sabhanu
Sadiru
Sahiru
Sahrina
Salamme
Sallat
Salli
Samʾalla
Samʾuna
Samanu
Samerina
Samharayu
Samsimuruna
Sandu
Sanha
Saparda
Sapia
Sapirrutu
Sarabanu
Saraga
Sarduriani
Sare
Sarugi
Sarun
Sasiqani
Satarnu
Sategille
Sazana
Siʾimme
Siʾme
Sihana
Sikris
Sikriš
Sin-šabši
Sinaʾini
Singara
Sinnu
Sinu
Sippar
Siriš
Sirura
Sizini
Sua
Subartu
Subru
Sudanina
Suena
Suhu
Sukur
Sumbi
Sumurzu
Sune
Surmarrati
Suru
Suru-Nurani
Susanu
Sutu
Ṣabat-lukun
Ṣaidina
Ṣela
Ṣibtu
Ṣidunu
Ṣilganga
Ṣimirra
Ṣiṣṣirtu
Ṣubara
Ṣupat
Ṣupite
Ṣurraya
Ṣurru
Ṣuṣanu
Ša-amele
Ša-iṣṣur-Adad
Ša-Nashur-Bel
Ša-pi-Bel
Ša-Turmiš
Ša-Uqimutaya
Šabarme
Šabbu
Šabhanu
Šabirešu
Šadina
Šadirtu
Šahuppa
Šamaʾunu
Šamaš-naṣir
Šaparda
Šapazzu
Šapiya
Šaraššu
Šarragitu
Šarru-iddina
Šarru-iqbi
Šasanaku
Šattera
Šazanuri
Šibaniba
Šibara
Šibartu
Šibhiniš
Šibirtu
Šibṭuru
Šimu
Šingibutu
Šišlu
Šitabni
Šubria
Šudu
Šuhupa
Šulaya
Šulmu-birati
Šumah
Šumeru
Šuru
Šušan
Tabal
Tabalu
Tagalagi
Tahalu
Taku
Talmusa
Tamarana
Tamnuna
Tamnunna
Tanat
Tarbiṣu
Targibatu
Tarninu
Tarqunani
Tasi
Tastiati
Teʾdi
Tema
Tidu
Tikki
Tikriš
Til-abna
Til-Aššuri
Til-Barsip
Til-halulina
Til-harrapina
Til-kunaši
Til-lini
Til-rahawa
Til-šikari
Til-Turi
Til-zani
Tille
Tilmun
Tiluli
Timbunaʾyu
Tina
Tinuni
Tite
Tizu
Tua
Tuaiadi
Tubliaš
Tukriš
Tummal
Tupha
Tuphan
Turmuna
Tušhan
Tutammu
Ṭabtaya
Ṭuʾa-abi
Ṭurušpa
Ṭuyaʾti
Ubase
Ubulu
Uda
Udpani
Udumu
Ugar-Nabu
Ukku
Ulanna
Ulluba
Uluaza
Ulušia
Unqi
Upi
Upia
Upumu
Ura
Urakka
Urammu
Urarṭu
Uraš
Uriakka
Urmu
Uru
Uruk
Urumeqa
Uṣunali
Uṣur-Adad
Ušiši
Ušti
Waisi
Wazae
Wazana
Wazaun
Yadaʾi
Yadburu
Yahdik
Yakimanu
Yanata
Yanibir-Ṣuhuri
Yasubu
Yasubuqu
Yasume
Yasumu
Yašubu
Yašuh
Yaubusi
Yauna
Yeri
Zabarra
Zabban
Zabgaga
Zaddi
Zaganu
Zahe
Zakrutu
Zame
Zanaki
Zaqqu
Zarana
Zarate
Zikirtu
Zikku
Zinbanu
