,name,index,coordinates,northeast,southwest

439,شجرة طوبى للصحيات,3,"(32.6011815, 44.0042351)","(32.60248977989271, 44.00550052989272)","(32.59979012010727, 44.00280087010728)"

440,Tuba Depot,4,"(30.3977429, 47.5005436)","(30.4042937, 47.50161417989273)","(30.3955593, 47.49891452010728)"

441,الطوبه-Tuba,5,"(30.3626979, 47.5027924)","(30.36404772989273, 47.50414222989272)","(30.36134807010728, 47.50144257010727)"

442,جامع الطوبة والنخيلة,6,"(30.5475414, 47.7452111)","(30.54888602989272, 47.74669582989272)","(30.54618637010728, 47.74399617010727)"

443,אום טובא,0,"(31.730808, 35.23235)","(31.7402977, 35.2483574)","(31.7213173, 35.2163426)"

444,עירק,0,"(33.223191, 43.679291)","(37.380645, 48.6350999)","(29.0612079, 38.7936741)"

445,Hit,1,"(33.6435199, 42.8253662)","(33.6586385, 42.8611851)","(33.6220526, 42.8027344)"

446,א-רקה,2,"(35.9594106, 38.9981052)","(35.9821736, 39.0682411)","(35.9272857, 38.9259338)"

447,מלזיה,3,"(4.210484, 101.975766)","(7.5191, 119.4000001)","(0.8539281000000001, 98.9353999)"

448,Villa Tiying Tutul,4,"(-8.648843, 115.158214)","(-8.647219270107277, 115.1596115798927)","(-8.64991892989272, 115.1569119201073)"

449,Khafajah / Khafaje,0,"(33.354812, 44.55583550000001)","(33.35810360000001, 44.55769565000001)","(33.35371479999998, 44.55025504999998)"

450,Tell Al Ubaid,0,"(30.9722899, 46.0305932)","(30.97363972989273, 46.03194302989272)","(30.97094007010728, 46.02924337010727)"

451,Faydat al `Ubayyid,1,"(30.1461111, 45.37444439999999)","(30.1557595, 45.3904518)","(30.1364618, 45.358437)"

452,Tell Jokha (ancient: Umma),0,"(31.6671252, 45.8880043)","(31.66847502989272, 45.88935412989272)","(31.66577537010728, 45.88665447010727)"

453,תל חסי,0,"(31.547475, 34.730067)","(31.54852222989272, 34.73093927989272)","(31.54582257010727, 34.72823962010728)"

454,The Monument Of The Unknown Soldier‎,0,"(33.3084864, 44.3892919)","(33.31068885000001, 44.3900486)","(33.30775224999999, 44.3870218)"

455,The Monument Of The Unknown Soldier‎,0,"(33.3084864, 44.3892919)","(33.31068885000001, 44.3900486)","(33.30775224999999, 44.3870218)"

456,Unknown Soldier Memorial Garden,0,"(31.7761832, 35.1797206)","(31.77768422989272, 35.18135642989272)","(31.77498457010728, 35.17865677010728)"

457,Unknown Soldier Memorial Garden,0,"(31.7761832, 35.1797206)","(31.77768422989272, 35.18135642989272)","(31.77498457010728, 35.17865677010728)"

458,Tell Uqair,0,"(32.7798374, 44.6642573)","(32.7892181, 44.6802647)","(32.7704557, 44.6482499)"

459,הזיגוראת הגדול של אור,0,"(30.9627548, 46.1031778)","(30.96430232989272, 46.10474277989272)","(30.96160267010728, 46.10204312010728)"

460,Ur,1,"(30.9608333, 46.1061111)","(30.970401, 46.1221185)","(30.9512646, 46.0901037)"

461,Ur,2,"(31.0641593, 46.2402577)","(31.0731159, 46.2477206)","(31.0575662, 46.234417)"

462,Ur,3,"(33.4264108, 44.43470070000001)","(33.4348257, 44.4408345)","(33.3968015, 44.4051933)"

463,Ur Terminal (planned) Constructions halted due to Iran-Iraq war,4,"(33.2682136, 44.2330455)","(33.26944827989272, 44.23419197989273)","(33.26674862010728, 44.23149232010728)"

464,Ur of the Chaldean,5,"(30.9614449, 46.10571470000001)","(30.96395635000001, 46.106768)","(30.96060775, 46.1025548)"

465,Mahatt Ur,6,"(30.9720063, 46.1673165)","(30.9766708, 46.1727262)","(30.9683548, 46.1608386)"

466,Ur Mum,7,"(33.3187643, 44.3735057)","(33.32014182989272, 44.37483762989272)","(33.31744217010727, 44.37213797010727)"

467,Ur State Company,8,"(31.0143227, 46.25561709999999)","(31.01549807989272, 46.25676882989271)","(31.01279842010727, 46.25406917010727)"

468,House of Abrahum,9,"(30.9596426, 46.1074626)","(30.96081302989272, 46.10897337989272)","(30.95811337010728, 46.10627372010727)"

469,"ATM Trade Bank of Iraq, Ur Hotel",10,"(31.0337567, 46.23718059999999)","(31.03515917989272, 46.23842077989271)","(31.03245952010728, 46.23572112010726)"

470,Uruk,0,"(31.3243503, 45.6388031)","(31.32570012989271, 45.64015292989271)","(31.32300047010727, 45.63745327010727)"

471,Van Royal,0,"(36.1986759, 44.0221424)","(36.20016157989271, 44.02379232989273)","(36.19746192010727, 44.02109267010729)"

472,מצודת ארביל,0,"(36.1911651, 44.0091464)","(36.19249242989272, 44.01045762989273)","(36.18979277010727, 44.00775797010728)"

473,Castle Of Van,0,"(38.502677, 43.3387541)","(38.50438987989272, 43.33996614999999)","(38.50169022010728, 43.33511795000001)"

474,VANS Store Jerusalem - Malha Mall,0,"(31.751554, 35.18719)","(31.75286907989272, 35.18818202989273)","(31.75016942010728, 35.18548237010729)"

475,Vardadzor,0,"(40.1881385, 45.1983131)","(40.2030671, 45.2181816)","(40.1786438, 45.1821328)"

476,"Warka, Iraq Ancient Uruk",0,"(31.3259694, 45.6378992)","(31.32731922989272, 45.63924902989272)","(31.32461957010728, 45.63654937010728)"

477,כורדיסטאן העיראקית,0,"(36.4103395, 44.38719529999999)","(37.3712486, 46.3320922)","(34.4539171, 41.2783813)"

478,כורדיסטן העיראקית,1,"(36.1673851, 43.9811935)","(36.1741537, 43.9907384)","(36.1594899, 43.9694952)"

479,Tall Wilāyah,2,"(32.33, 45.6591667)","(32.3394278, 45.6751741)","(32.3205712, 45.6431593)"

480,yahya muhamad,0,"(35.3535732, 45.8678951)","(35.35490487989272, 45.86923602989272)","(35.35220522010728, 45.86653637010728)"

481,Yazılıtaş,0,"(39.686227, 35.176464)","(39.6897052, 35.1802711)","(39.683386, 35.1722247)"

482,Bakraçlı,0,"(38.449846, 43.46274500000001)","(38.452594, 43.4663269)","(38.4463768, 43.455962)"

483,Yeşilalıç,0,"(37.110294, 39.757861)","(37.1191917, 39.7738684)","(37.1013953, 39.7418536)"

484,Yoncalı,0,"(37.494611, 43.38235)","(37.5034633, 43.39835739999999)","(37.4857576, 43.3663426)"

485,Zabala,0,"(42.8470234, -2.6724669)","(42.84837322989273, -2.671117070107278)","(42.84567357010729, -2.673816729892722)"

486,Zawiyah,0,"(33.3273039, 43.7477743)","(33.3517527, 43.7601758)","(33.3185514, 43.7359715)"

487,تپه قلعه زیویه,0,"(36.2389448, 46.2779705)","(36.24028707989272, 46.27883187989271)","(36.23758742010727, 46.27613222010727)"

488,זווארטנוץ,0,"(40.16527019999999, 44.3427833)","(40.1700854, 44.3527508)","(40.1555893, 44.3299842)"

489,Zvartnots International Airport,0,"(40.1491782, 44.3988571)","(40.15959974999999, 44.4017542)","(40.14570435000002, 44.3978914)"

490,זווארטנוץ,1,"(40.1602393, 44.3363394)","(40.16158912989272, 44.33768922989272)","(40.15888947010728, 44.33498957010728)"

491,זווארטנוץ,2,"(40.16527019999999, 44.3427833)","(40.1700854, 44.3527508)","(40.1555893, 44.3299842)"

492,Çavuştepe,0,"(38.35, 43.4528999)","(38.3565591, 43.4565418)","(38.3458735, 43.4452996)"

493,Çavuştepe,0,"(38.35, 43.4528999)","(38.3565591, 43.4565418)","(38.3458735, 43.4452996)"

494,Çelebibağı,0,"(38.9826, 43.3108)","(39.004886, 43.323461)","(38.972392, 43.2613551)"

495,Sehna,0,"(32.8110437, 73.92128579999999)","(32.8142931, 73.92676589999999)","(32.8041575, 73.9146852)"

496,תל ליילאן,0,"(36.9580695, 41.504396)","(36.9603171, 41.5073776)","(36.9551732, 41.5025282)"

497,תל ליילאן,0,"(36.9580695, 41.504396)","(36.9603171, 41.5073776)","(36.9551732, 41.5025282)"

