,name,index,coordinates,northeast,southwest
74,בם,17,"(29.0984956, 58.337468)","(29.1368686, 58.39542389999999)","(29.0677983, 58.2973194)"

75,משהאד,18,"(36.2604623, 59.6167549)","(36.4042558, 59.7220229)","(36.1909881, 59.4368935)"

76,המוזיאון הבריטי,19,"(51.5194133, -0.1269566)","(51.52145429999999, -0.12477735)","(51.51732029999999, -0.12914235)"

77,Arabia,20,"(19.4914108, 47.4490397)","(32.154284, 60.30399999999999)","(11.7975, 34.4815001)"

78,הראט,21,"(34.352865, 62.20402869999999)","(34.3883543, 62.2713661)","(34.3185577, 62.150774)"

79,מרב העתיקה,22,"(37.664426, 62.17471860000001)","(37.6859939, 62.20304489999999)","(37.6483543, 62.1446799)"

80,סמית'סוניאן,23,"(38.8860146, -77.0213921)","(38.88755922989272, -77.01912870000001)","(38.88485957010728, -77.0222679)"

81,Bisotun,0,"(34.3961908, 47.4453628)","(34.4039354, 47.4529552)","(34.3901781, 47.4397373)"

82,Bitlis,0,"(38.400569, 42.1095019)","(38.429029, 42.1383121)","(38.37997, 42.087527)"

83,ביטליס,1,"(38.6523133, 42.4202028)","(39.032639, 43.22526089999999)","(37.959825, 41.4871841)"

84,Ahlat Selçuklu Mezarlığı,2,"(38.7404253, 42.4589483)","(38.74163652989272, 42.46040682989272)","(38.73893687010727, 42.45770717010728)"

85,Yağızoymak,3,"(37.571404, 42.010748)","(37.57173732989272, 42.013219)","(37.56903767010728, 42.009576)"

86,כורדיסטאן העיראקית,4,"(36.4103395, 44.38719529999999)","(37.3712486, 46.3320922)","(34.4539171, 41.2783813)"

87,עמידייה,5,"(37.0917271, 43.487692)","(37.0961619, 43.4898734)","(37.0877921, 43.4835863)"

88,ברזאן,6,"(36.9263062, 44.0407888)","(36.9362406, 44.0555191)","(36.9177151, 44.0303707)"

89,Bitlis,0,"(38.400569, 42.1095019)","(38.429029, 42.1383121)","(38.37997, 42.087527)"

90,Boğazkale,0,"(40.021565, 34.609279)","(40.0378339, 34.6186719)","(40.015918, 34.601238)"

91,Borsippa Ziggurat,0,"(32.391743, 44.341287)","(32.39464325000001, 44.34294662989273)","(32.39077624999999, 44.34024697010728)"

92,Bostankaya,0,"(39.511558, 37.0183137)","(39.5129338, 37.0212525)","(39.5069284, 37.0136538)"

93,Bulutpınar,0,"(39.3449, 42.6593)","(39.35352839999999, 42.6753074)","(39.3362705, 42.6432926)"

94,Burmageçit,0,"(38.966843, 39.5393)","(38.9702716, 39.54461149999999)","(38.9622482, 39.5342672)"

95,Byblos Bank,0,"(33.3092542, 44.4300176)","(33.31068537989272, 44.43130877989272)","(33.30798572010728, 44.42860912010728)"

96,Byblos Bank,1,"(35.557193, 45.4284185)","(35.55859627989272, 45.42978797989272)","(35.55589662010727, 45.42708832010728)"

97,גבל,0,"(34.1230021, 35.6519282)","(34.1322386, 35.6679356)","(34.1137646, 35.6359208)"

